Epoch,Time (s),Train Loss,Test Loss,BIC
1,85.1977469921112,592939.5676269531,34519.259521484375,220608.08879865945
2,169.3258171081543,300064.4626464844,28476.7109375,208522.9916306907
3,253.81358194351196,258980.35571289062,24197.913818359375,199965.39739240945
4,338.8570771217346,198644.22241210938,16434.743774414062,184439.05730451882
5,423.3760299682617,120876.64440917969,8944.769592285156,169459.108940261
6,507.91138911247253,66899.20272827148,5400.657745361328,162370.88524641335
7,592.1759099960327,46691.720703125,4173.648956298828,159916.86766828835
8,677.2349281311035,35677.70358276367,3191.9544982910156,157953.47875227273
9,761.3051660060883,29265.99365234375,2665.3739624023438,156900.31768049538
10,846.2517750263214,24888.921417236328,2315.350784301758,156200.2713242942
11,931.4415490627289,22046.126678466797,2096.4037170410156,155762.37718977273
12,1016.8913631439209,20103.990020751953,1998.6913604736328,155566.95247663796
13,1102.0796360969543,18446.8751373291,1846.1815795898438,155261.93291487038
14,1186.6599941253662,17094.0470123291,1621.6295471191406,154812.82884992898
15,1270.996118068695,15670.022232055664,1539.4610214233398,154648.49179853738
16,1355.9655821323395,14771.748138427734,1452.67431640625,154474.9183885032
17,1441.1693229675293,14070.218589782715,1374.0177459716797,154317.60524763406
18,1526.3922600746155,13536.887023925781,1377.3631896972656,154324.29613508523
19,1611.4886119365692,12937.480163574219,1268.1751403808594,154105.92003645241
20,1696.5516040325165,12519.065414428711,1304.1143264770508,154177.7984086448
21,1780.7903439998627,11937.210105895996,1167.7289276123047,153905.0276109153
22,1865.8059649467468,11574.665496826172,1152.7596817016602,153875.08911909402
23,1950.3846011161804,11241.327407836914,1121.0340042114258,153811.63776411355
24,2034.7060041427612,11029.922256469727,1094.528579711914,153758.62691511452
25,2119.7712099552155,10695.120971679688,1055.412712097168,153680.39517988503
26,2204.6503019332886,10603.075469970703,1162.8933715820312,153895.35649885476
27,2288.62282204628,10320.743301391602,1045.1577606201172,153659.88527693093
28,2374.5362679958344,10159.231948852539,1007.5543518066406,153584.67845930398
29,2458.4238510131836,9894.609512329102,1030.5270080566406,153630.62377180398
30,2544.3053770065308,9761.538696289062,994.5833206176758,153558.73639692605
31,2629.5373351573944,9622.240432739258,947.0141143798828,153463.59798445046
32,2714.40203499794,9429.40177154541,937.3083610534668,153444.18647779763
33,2799.5916199684143,9308.636291503906,944.4432907104492,153458.4563371116
34,2883.9817571640015,9239.702537536621,1022.9419555664062,153615.4536668235
35,2968.527717113495,9121.534019470215,906.8395309448242,153383.24881758034
36,3053.663808107376,9022.561958312988,899.8701248168945,153369.31000532449
37,3137.981691122055,9011.31185913086,929.3785247802734,153428.32680525124
38,3224.43363904953,8897.695686340332,890.8550758361816,153351.27990736306
39,3308.3041400909424,8781.184379577637,876.4349365234375,153322.43962873757
40,3393.3910789489746,8664.95036315918,883.2652359008789,153336.10022749245
41,3479.575261116028,8670.519500732422,905.5952033996582,153380.76016249
42,3566.070207118988,8665.35432434082,893.384090423584,153356.33793653786
43,3651.378212928772,8562.103149414062,848.6391334533691,153266.84802259743
44,3737.6510100364685,8579.6904296875,966.5180740356445,153502.60590376199
45,3822.9475860595703,8546.710609436035,829.2344741821289,153228.03870405495
46,3908.297255039215,8337.398826599121,826.7531204223633,153223.07599653542
47,3993.997797012329,8305.377944946289,817.8175506591797,153205.20485700906
48,4079.9009981155396,8216.111465454102,831.4655838012695,153232.50092329324
49,4166.535835027695,8133.494239807129,853.4176216125488,153276.4049989158
50,4251.951912164688,8085.340602874756,800.3803367614746,153170.33042921365
51,4338.929407119751,8212.83814239502,800.5477638244629,153170.66528333962
52,4423.8476049900055,8109.040771484375,825.2605056762695,153220.09076704324
53,4511.141241073608,8047.961280822754,803.8282127380371,153177.22618116677
54,4595.552030086517,8034.926551818848,794.2454528808594,153158.06066145241
55,4684.182881116867,7868.5690994262695,776.7806739807129,153123.13110365212
56,4771.045659065247,7983.596366882324,786.3182907104492,153142.2063371116
57,4857.3531811237335,7916.8434410095215,811.4699172973633,153192.50959028542
58,4944.0191061496735,7912.752235412598,779.1193695068359,153127.80849470437
59,5030.563534021378,7837.833351135254,822.7031173706055,153214.9759904319
60,5115.185073137283,7785.48104095459,796.8291625976562,153163.228080886
61,5200.216568946838,7851.309608459473,788.2493896484375,153146.06853498757
62,5284.757230043411,7791.407760620117,800.8323745727539,153171.2345048362
63,5369.539338111877,7755.608345031738,768.4376754760742,153106.44510664284
64,5453.943707942963,7647.8619956970215,777.0322418212891,153123.63423933327
65,5538.672649145126,7651.790664672852,763.85498046875,153097.2797166282
66,5623.773250102997,7595.926116943359,775.6778526306152,153120.92546095193
67,5708.7673399448395,7604.9746170043945,748.0103645324707,153065.59048475564
68,5793.5768699646,7487.0692138671875,767.8144607543945,153105.19867719949
69,5878.615453958511,7558.141403198242,753.0214424133301,153075.61264051736
70,5963.796895027161,7449.744438171387,771.8086547851562,153113.187065261
71,6048.263319969177,7492.672389984131,741.2313652038574,153052.0324860984
72,6133.123332023621,7551.6394119262695,760.141902923584,153089.85356153786
